time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,917.27375,695.10625,1761.625,1661.02375,2073.61625,1939.2575,1130.25,1237.2925,2447.875,1655.875,37.43,52.8
0.1,917.27375,695.10625,1761.625,1660.91375,2073.5525,1939.2575,1130.25,1237.2925,2447.875,1655.75,37.46,52.77
0.2,917.16125,694.98125,1761.5,1660.91375,2073.5525,1939.2575,1130.25,1237.2925,2447.75,1655.75,37.44,52.76
0.3,917.16125,694.98125,1761.5,1660.805,2073.5525,1939.2575,1130.25,1237.08125,2447.75,1655.75,37.48,52.76
0.4,917.16125,694.98125,1761.5,1660.805,2073.49,1939.2575,1130.375,1236.87,2447.75,1655.75,37.46,52.75
0.5,917.05,694.85625,1761.5,1660.695,2073.49,1939.19125,1130.25,1236.87,2447.625,1655.625,37.44,52.79
0.6,917.05,694.85625,1761.5,1660.695,2073.49,1939.19125,1130.25,1236.65875,2447.625,1655.625,37.44,52.8
0.7,916.93875,694.73125,1761.5,1660.695,2073.4275,1939.19125,1130.25,1236.65875,2447.5,1655.625,37.47,52.79
0.8,916.93875,694.85625,1761.5,1660.695,2073.4275,1939.19125,1130.25,1236.44875,2447.5,1655.625,37.47,52.79
0.9,916.93875,694.73125,1761.5,1660.585,2073.36375,1939.12375,1130.25,1236.44875,2447.375,1655.5,37.46,52.82
1.0,916.8275,694.60625,1761.625,1660.585,2073.36375,1939.12375,1130.25,1236.2375,2447.375,1655.5,37.44,52.76
1.1,916.93875,694.60625,1761.5,1660.475,2073.30125,1939.05625,1130.25,1236.02625,2447.25,1655.5,37.48,52.79
1.2,916.8275,694.60625,1761.5,1660.475,2073.30125,1939.05625,1130.25,1236.02625,2447.25,1655.375,37.48,52.83
1.3,916.8275,694.60625,1761.5,1660.475,2073.30125,1939.05625,1130.25,1236.02625,2447.125,1655.375,37.5,52.78
1.4,916.715,694.48125,1761.5,1660.36625,2073.30125,1939.05625,1130.25,1235.815,2447.125,1655.375,37.48,52.78
1.5,916.60375,694.48125,1761.5,1660.36625,2073.23875,1939.05625,1130.25,1235.815,2447.125,1655.25,37.44,52.77
1.6,916.715,694.35625,1761.5,1660.25625,2073.17625,1938.98875,1130.125,1235.605,2447,1655.25,37.48,52.76
1.7,916.60375,694.35625,1761.5,1660.25625,2073.17625,1938.98875,1130.125,1235.605,2447,1655.125,37.48,52.77
1.8,916.60375,694.35625,1761.5,1660.25625,2073.17625,1938.92125,1130.25,1235.39375,2446.875,1655.125,37.48,52.74
1.9,916.4925,694.23125,1761.5,1660.25625,2073.17625,1938.92125,1130.25,1235.39375,2446.75,1655.125,37.46,52.76
2.0,916.4925,694.23125,1761.5,1660.14625,2073.1125,1938.92125,1130.25,1235.1825,2446.75,1654.875,37.48,52.74
2.1,916.4925,694.23125,1761.5,1660.03625,2073.1125,1938.92125,1130.25,1235.1825,2446.75,1654.875,37.47,52.78
2.2,916.4925,694.10625,1761.5,1660.14625,2073.1125,1938.85375,1130.125,1234.97125,2446.625,1654.875,37.47,52.71
2.3,916.38125,694.10625,1761.5,1660.03625,2073.05,1938.85375,1130.125,1234.97125,2446.625,1654.75,37.5,52.74
2.4,916.38125,694.10625,1761.5,1660.03625,2072.9875,1938.85375,1130.125,1234.76,2446.5,1654.75,37.47,52.77
2.5,916.26875,694.10625,1761.5,1659.9275,2072.9875,1938.78625,1130.25,1234.76,2446.5,1654.625,37.47,52.75
2.6,916.26875,693.98125,1761.5,1659.9275,2072.9875,1938.78625,1130.125,1234.55,2446.375,1654.625,37.47,52.71
2.7,916.26875,693.98125,1761.5,1659.8175,2072.92375,1938.78625,1130.125,1234.55,2446.375,1654.5,37.5,52.73
2.8,916.1575,693.98125,1761.5,1659.8175,2072.92375,1938.71875,1130.125,1234.33875,2446.375,1654.5,37.47,52.75
2.9,916.26875,693.98125,1761.5,1659.8175,2072.92375,1938.71875,1130.125,1234.33875,2446.375,1654.375,37.48,52.73
3.0,916.1575,693.85625,1761.5,1659.7075,2072.92375,1938.71875,1130.125,1234.1275,2446.375,1654.375,37.48,52.73
3.1,916.1575,693.85625,1761.5,1659.7075,2072.86125,1938.71875,1130.125,1234.1275,2446.25,1654.25,37.48,52.71
3.2,916.04625,693.85625,1761.375,1659.7075,2072.86125,1938.71875,1130.125,1233.91625,2446.25,1654.25,37.47,52.69
3.3,916.04625,693.85625,1761.5,1659.7075,2072.7975,1938.65125,1130.125,1234.1275,2446.25,1654.125,37.47,52.74
3.4,916.04625,693.73125,1761.5,1659.59875,2072.7975,1938.65125,1130.125,1233.91625,2446.25,1654.125,37.47,52.71
3.5,915.935,693.73125,1761.375,1659.59875,2072.7975,1938.65125,1130.125,1233.91625,2446.125,1654.125,37.47,52.7
3.6,915.935,693.73125,1761.5,1659.48875,2072.7975,1938.65125,1130.125,1233.70625,2446.125,1654,37.48,52.73
3.7,915.935,693.60625,1761.375,1659.48875,2072.7975,1938.65125,1130.125,1233.70625,2446.125,1653.875,37.47,52.74
3.8,915.935,693.60625,1761.5,1659.48875,2072.735,1938.65125,1130.125,1233.495,2446,1653.875,37.48,52.73
3.9,915.8225,693.60625,1761.375,1659.48875,2072.735,1938.65125,1130.125,1233.495,2446.125,1653.75,37.47,52.71
4.0,915.8225,693.60625,1761.375,1659.37875,2072.735,1938.65125,1130.125,1233.495,2446,1653.75,37.47,52.71
4.1,915.8225,693.48125,1761.5,1659.37875,2072.6725,1938.65125,1130.125,1233.28375,2446,1653.75,37.48,52.69
4.2,915.71125,693.60625,1761.375,1659.37875,2072.6725,1938.585,1130.125,1233.0725,2446,1653.625,37.52,52.69
4.3,915.71125,693.48125,1761.375,1659.26875,2072.6725,1938.65125,1130.125,1233.0725,2446,1653.625,37.48,52.7
4.4,915.71125,693.48125,1761.375,1659.26875,2072.6725,1938.585,1130.125,1232.8625,2446,1653.625,37.48,52.66
4.5,915.6,693.48125,1761.375,1659.16,2072.60875,1938.65125,1130.125,1232.8625,2446,1653.625,37.48,52.69
4.6,915.6,693.35625,1761.375,1659.16,2072.60875,1938.65125,1130.125,1232.65125,2445.875,1653.625,37.46,52.65
4.7,915.6,693.35625,1761.375,1659.16,2072.60875,1938.585,1130,1232.65125,2446,1653.625,37.5,52.69
4.8,915.48875,693.23125,1761.375,1659.05,2072.54625,1938.585,1130,1232.65125,2446,1653.625,37.48,52.66
4.9,915.48875,693.35625,1761.375,1659.05,2072.54625,1938.585,1130.125,1232.44,2446,1653.5,37.5,52.65
5.0,915.48875,693.23125,1761.375,1659.05,2072.54625,1938.585,1130.125,1232.44,2446,1653.5,37.46,52.67
5.1,915.48875,693.23125,1761.375,1658.94,2072.54625,1938.65125,1130.125,1232.22875,2446,1653.5,37.46,52.66
5.2,915.37625,693.23125,1761.375,1658.94,2072.54625,1938.65125,1130.125,1232.22875,2446,1653.375,37.47,52.69
5.3,915.37625,693.23125,1761.375,1658.94,2072.48375,1938.65125,1130.125,1232.22875,2446,1653.375,37.47,52.67
5.4,915.265,693.10625,1761.375,1658.94,2072.48375,1938.65125,1130.125,1232.01875,2446,1653.375,37.47,52.67
5.5,915.37625,693.10625,1761.375,1658.83,2072.48375,1938.65125,1130.125,1232.01875,2446.125,1653.25,37.52,52.65
5.6,915.265,693.10625,1761.375,1658.94,2072.48375,1938.71875,1130.125,1231.8075,2446.125,1653.25,37.48,52.62
5.7,915.265,693.10625,1761.25,1658.83,2072.48375,1938.71875,1130.125,1231.8075,2446.125,1653.25,37.48,52.66
5.8,915.15375,693.10625,1761.25,1658.83,2072.48375,1938.78625,1130.25,1231.59625,2446.125,1653.25,37.48,52.65
5.9,915.15375,692.98125,1761.375,1658.72125,2072.42,1938.71875,1130.25,1231.59625,2446.25,1653.25,37.48,52.68
6.0,915.15375,692.98125,1761.25,1658.72125,2072.42,1938.78625,1130.125,1231.385,2446.25,1653.25,37.48,52.7
6.1,915.15375,692.85625,1761.375,1658.61125,2072.42,1938.78625,1130.25,1231.385,2446.25,1653.25,37.47,52.67
6.2,915.0425,692.85625,1761.25,1658.72125,2072.42,1938.85375,1130.25,1231.385,2446.25,1653.25,37.48,52.7
6.3,915.0425,692.85625,1761.25,1658.61125,2072.42,1938.85375,1130.25,1231.175,2446.25,1653.25,37.47,52.66
6.4,915.0425,692.85625,1761.375,1658.61125,2072.42,1938.92125,1130.25,1231.175,2446.25,1653.25,37.48,52.64
6.5,914.93,692.85625,1761.25,1658.61125,2072.42,1938.92125,1130.25,1230.96375,2446.25,1653.25,37.5,52.65
6.6,914.93,692.85625,1761.25,1658.50125,2072.48375,1938.98875,1130.25,1230.96375,2446.25,1653.125,37.47,52.63
6.7,914.93,692.85625,1761.25,1658.50125,2072.42,1938.98875,1130.25,1230.7525,2446.25,1653.125,37.47,52.63
6.8,914.81875,692.85625,1761.375,1658.50125,2072.42,1938.98875,1130.375,1230.7525,2446.375,1653.25,37.47,52.66
6.9,914.81875,692.85625,1761.25,1658.50125,2072.42,1939.05625,1130.375,1230.7525,2446.375,1653.25,37.47,52.7
7.0,914.81875,692.73125,1761.25,1658.50125,2072.42,1939.05625,1130.375,1230.54125,2446.375,1653.25,37.47,52.65
7.1,914.81875,692.85625,1761.25,1658.50125,2072.48375,1939.05625,1130.375,1230.54125,2446.375,1653.25,37.47,52.62
7.2,914.81875,692.73125,1761.25,1658.39125,2072.42,1939.12375,1130.375,1230.33,2446.5,1653.25,37.48,52.66
7.3,914.81875,692.73125,1761.25,1658.39125,2072.42,1939.19125,1130.5,1230.33,2446.5,1653.25,37.48,52.66
7.4,914.7075,692.73125,1761.25,1658.2825,2072.48375,1939.19125,1130.375,1230.33,2446.5,1653.25,37.53,52.71
7.5,914.7075,692.60625,1761.25,1658.39125,2072.42,1939.2575,1130.375,1230.12,2446.5,1653.25,37.48,52.66
7.6,914.7075,692.73125,1761.25,1658.39125,2072.42,1939.2575,1130.375,1230.12,2446.5,1653.25,37.48,52.7
7.7,914.7075,692.73125,1761.25,1658.2825,2072.48375,1939.325,1130.375,1230.12,2446.5,1653.25,37.52,52.7
7.8,914.59625,692.73125,1761.25,1658.39125,2072.42,1939.325,1130.375,1229.90875,2446.5,1653.25,37.47,52.71
7.9,914.59625,692.60625,1761.25,1658.2825,2072.48375,1939.325,1130.5,1229.90875,2446.5,1653.25,37.47,52.69
8.0,914.59625,692.60625,1761.25,1658.2825,2072.48375,1939.3925,1130.5,1229.6975,2446.5,1653.375,37.48,52.66
8.1,914.59625,692.60625,1761.25,1658.2825,2072.48375,1939.46,1130.5,1229.6975,2446.5,1653.375,37.5,52.68
8.2,914.48375,692.60625,1761.25,1658.1725,2072.48375,1939.3925,1130.5,1229.6975,2446.375,1653.375,37.5,52.68
8.3,914.48375,692.60625,1761.25,1658.2825,2072.48375,1939.46,1130.5,1229.6975,2446.375,1653.375,37.5,52.7
8.4,914.48375,692.60625,1761.25,1658.2825,2072.48375,1939.46,1130.5,1229.48625,2446.375,1653.25,37.5,52.7
8.5,914.48375,692.60625,1761.25,1658.2825,2072.48375,1939.46,1130.5,1229.48625,2446.375,1653.25,37.47,52.7
8.6,914.48375,692.60625,1761.25,1658.1725,2072.48375,1939.46,1130.5,1229.48625,2446.25,1653.25,37.47,52.71
8.7,914.3725,692.60625,1761.25,1658.1725,2072.48375,1939.46,1130.5,1229.27625,2446.25,1653.25,37.52,52.7
8.8,914.3725,692.60625,1761.25,1658.1725,2072.48375,1939.5275,1130.625,1229.065,2446.125,1653.25,37.47,52.69
8.9,914.3725,692.60625,1761.25,1658.1725,2072.48375,1939.5275,1130.5,1229.065,2446.125,1653.25,37.47,52.72
9.0,914.3725,692.48125,1761.25,1658.1725,2072.48375,1939.5275,1130.5,1228.85375,2446,1653.25,37.48,52.7
9.1,914.3725,692.48125,1761.25,1658.1725,2072.48375,1939.5275,1130.5,1228.85375,2446,1653.125,37.47,52.72
9.2,914.26125,692.48125,1761.25,1658.0625,2072.48375,1939.5275,1130.625,1228.6425,2446,1653.125,37.5,52.74
9.3,914.26125,692.48125,1761.25,1658.0625,2072.48375,1939.5275,1130.5,1228.6425,2445.875,1653.125,37.48,52.69
9.4,914.26125,692.35625,1761.25,1658.0625,2072.48375,1939.5275,1130.5,1228.6425,2445.875,1653.125,37.48,52.7
9.5,914.26125,692.48125,1761.25,1657.9525,2072.48375,1939.5275,1130.5,1228.4325,2445.875,1653.125,37.48,52.7
9.6,914.26125,692.48125,1761.25,1657.9525,2072.48375,1939.5275,1130.5,1228.4325,2445.75,1653.125,37.48,52.76
9.7,914.26125,692.35625,1761.25,1657.9525,2072.48375,1939.46,1130.625,1228.22125,2445.75,1653,37.5,52.74
9.8,914.26125,692.35625,1761.25,1657.9525,2072.48375,1939.5275,1130.5,1228.22125,2445.625,1653,37.5,52.76
