time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,922.07125,686.3575,1747.625,1665.63,2072.16875,1936.0925,1151.875,1190.25,2399.875,1568.625,37.19,53.68
0.1,921.95875,686.2325,1747.625,1665.52,2072.10625,1936.025,1151.75,1190.04,2399.875,1568.625,37.2,53.66
0.2,921.95875,686.1075,1747.5,1665.3,2071.98,1935.89,1151.75,1189.82875,2399.75,1568.5,37.2,53.63
0.3,921.8475,685.9825,1747.5,1665.3,2071.9175,1935.8225,1151.75,1189.6175,2399.625,1568.5,37.2,53.62
0.4,921.73625,685.8575,1747.375,1665.08125,2071.85375,1935.755,1151.75,1189.6175,2399.625,1568.375,37.19,53.59
0.5,921.73625,685.8575,1747.375,1664.97125,2071.72875,1935.62125,1151.625,1189.40625,2399.5,1568.375,37.2,53.58
0.6,921.625,685.7325,1747.375,1664.8625,2071.665,1935.55375,1151.75,1189.195,2399.5,1568.25,37.19,53.62
0.7,921.5125,685.7325,1747.25,1664.7525,2071.6025,1935.48625,1151.625,1189.195,2399.375,1568.125,37.2,53.57
0.8,921.5125,685.4825,1747.25,1664.5325,2071.54,1935.35125,1151.5,1188.985,2399.25,1568.125,37.2,53.57
0.9,921.5125,685.4825,1747.25,1664.5325,2071.41375,1935.28375,1151.5,1188.77375,2399.125,1568.125,37.19,53.52
1.0,921.40125,685.3575,1747.125,1664.42375,2071.41375,1935.15,1151.375,1188.5625,2399.125,1568,37.2,53.54
1.1,921.40125,685.2325,1747.125,1664.31375,2071.2875,1935.0825,1151.375,1188.5625,2399,1568,37.22,53.5
1.2,921.17875,685.1075,1747.125,1664.09375,2071.225,1935.015,1151.375,1188.35125,2398.875,1567.875,37.19,53.51
1.3,921.17875,685.1075,1747.125,1663.985,2071.1625,1934.9475,1151.25,1188.35125,2398.75,1567.875,37.19,53.46
1.4,921.06625,684.9825,1747.125,1663.875,2071.09875,1934.88,1151.25,1188.14125,2398.75,1567.75,37.2,53.5
1.5,921.06625,684.8575,1747,1663.765,2070.97375,1934.8125,1151.25,1187.93,2398.625,1567.75,37.19,53.47
1.6,920.955,684.8575,1747,1663.65625,2070.91,1934.745,1151.125,1187.93,2398.5,1567.75,37.22,53.44
1.7,920.955,684.7325,1747,1663.65625,2070.8475,1934.6775,1151,1187.71875,2398.5,1567.625,37.17,53.44
1.8,920.84375,684.7325,1747,1663.43625,2070.785,1934.61,1151,1187.5075,2398.375,1567.625,37.22,53.44
1.9,920.7325,684.6075,1747,1663.43625,2070.72125,1934.54375,1151,1187.2975,2398.25,1567.625,37.22,53.44
2.0,920.7325,684.4825,1747,1663.2175,2070.65875,1934.47625,1151,1187.2975,2398.25,1567.5,37.23,53.4
2.1,920.62,684.4825,1746.875,1663.1075,2070.59625,1934.40875,1150.875,1187.08625,2398.125,1567.375,37.22,53.37
2.2,920.62,684.3575,1746.875,1663.1075,2070.5325,1934.34125,1150.875,1186.875,2398,1567.375,37.23,53.36
2.3,920.50875,684.3575,1746.875,1662.9975,2070.47,1934.27375,1150.875,1186.875,2398,1567.25,37.2,53.34
2.4,920.50875,684.2325,1746.875,1662.8875,2070.40625,1934.20625,1150.875,1186.66375,2397.875,1567.25,37.22,53.39
2.5,920.3975,684.1075,1746.875,1662.77875,2070.34375,1934.13875,1150.75,1186.66375,2397.875,1567.125,37.23,53.33
2.6,920.28625,683.9825,1746.875,1662.66875,2070.28125,1934.07125,1150.75,1186.45375,2397.75,1567.125,37.2,53.36
2.7,920.17375,683.9825,1746.875,1662.55875,2070.21875,1934.005,1150.75,1186.45375,2397.625,1567.125,37.22,53.37
2.8,920.17375,683.8575,1746.875,1662.44875,2070.155,1933.9375,1150.625,1186.2425,2397.625,1567.125,37.23,53.33
2.9,920.17375,683.7325,1746.875,1662.34,2070.03,1933.87,1150.625,1186.03125,2397.5,1567,37.23,53.33
3.0,920.0625,683.7325,1746.875,1662.23,2070.03,1933.8025,1150.625,1186.03125,2397.5,1567,37.22,53.31
