time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,887.82,672.985,1741.625,1632.95,2059.7725,1928.75,1140.25,1109.87875,2364.125,1554.125,37.26,52.28
0.1,887.82,672.985,1741.625,1632.95,2059.7725,1928.6825,1140.25,1109.87875,2364,1554.125,37.26,52.26
0.2,887.82,672.985,1741.625,1633.05875,2059.7725,1928.6825,1140.25,1109.87875,2364,1554,37.26,52.26
0.3,887.82,672.985,1741.625,1632.95,2059.7725,1928.6825,1140.25,1109.6675,2363.875,1554,37.26,52.29
0.4,887.82,672.86,1741.625,1632.95,2059.7725,1928.61625,1140.25,1109.87875,2363.875,1554,37.26,52.28
0.5,887.82,672.985,1741.625,1632.95,2059.71,1928.61625,1140.25,1109.6675,2363.875,1554,37.26,52.26
0.6,887.82,672.985,1741.625,1632.95,2059.71,1928.61625,1140.25,1109.6675,2363.875,1554,37.24,52.25
0.7,887.82,672.86,1741.5,1632.95,2059.71,1928.61625,1140.25,1109.6675,2363.75,1553.875,37.26,52.26
0.8,887.82,672.86,1741.625,1632.95,2059.71,1928.54875,1140.25,1109.6675,2363.75,1553.875,37.26,52.25
0.9,887.82,672.86,1741.625,1632.95,2059.71,1928.54875,1140.25,1109.6675,2363.625,1553.875,37.27,52.25
1.0,887.82,672.86,1741.625,1632.95,2059.71,1928.54875,1140.125,1109.4575,2363.625,1553.875,37.26,52.25
1.1,887.82,672.86,1741.625,1632.95,2059.64625,1928.48125,1140.125,1109.4575,2363.625,1553.75,37.24,52.23
1.2,887.82,672.86,1741.625,1632.95,2059.64625,1928.48125,1140.125,1109.4575,2363.625,1553.75,37.24,52.25
1.3,887.82,672.86,1741.625,1632.95,2059.64625,1928.41375,1140.125,1109.4575,2363.5,1553.75,37.29,52.27
1.4,887.82,672.86,1741.625,1632.95,2059.64625,1928.41375,1140.125,1109.4575,2363.5,1553.625,37.26,52.21
1.5,887.82,672.86,1741.5,1632.95,2059.64625,1928.41375,1140.125,1109.4575,2363.375,1553.75,37.29,52.25
1.6,887.82,672.735,1741.5,1632.84,2059.58375,1928.34625,1140.125,1109.4575,2363.375,1553.625,37.27,52.2
1.7,887.82,672.735,1741.5,1632.95,2059.58375,1928.34625,1140.125,1109.4575,2363.25,1553.5,37.26,52.2
1.8,887.82,672.735,1741.5,1632.84,2059.58375,1928.34625,1140.125,1109.4575,2363.25,1553.5,37.27,52.23
1.9,887.82,672.735,1741.625,1632.84,2059.58375,1928.27875,1140.125,1109.4575,2363.25,1553.625,37.26,52.2
2.0,887.82,672.735,1741.5,1632.84,2059.52125,1928.27875,1140.125,1109.24625,2363.125,1553.5,37.27,52.21
2.1,887.82,672.61,1741.5,1632.84,2059.52125,1928.27875,1140.125,1109.24625,2363.125,1553.5,37.29,52.17
2.2,887.82,672.61,1741.5,1632.84,2059.52125,1928.21125,1140,1109.24625,2363.125,1553.375,37.26,52.17
2.3,887.82,672.61,1741.625,1632.84,2059.52125,1928.14375,1140,1109.24625,2363,1553.375,37.29,52.19
2.4,887.82,672.61,1741.5,1632.84,2059.4575,1928.21125,1140,1109.035,2363,1553.375,37.26,52.18
2.5,887.82,672.61,1741.5,1632.73,2059.4575,1928.14375,1140.125,1109.035,2363,1553.375,37.29,52.2
2.6,887.82,672.61,1741.5,1632.73,2059.4575,1928.14375,1140.125,1109.035,2362.875,1553.25,37.26,52.2
2.7,887.82,672.485,1741.5,1632.73,2059.4575,1928.0775,1140,1109.035,2362.875,1553.25,37.3,52.15
2.8,887.70875,672.485,1741.5,1632.73,2059.4575,1928.0775,1140,1109.035,2362.875,1553.125,37.27,52.18
2.9,887.82,672.485,1741.5,1632.73,2059.395,1928.0775,1140,1108.82375,2362.875,1553.125,37.29,52.17
3.0,887.82,672.485,1741.5,1632.73,2059.395,1928.01,1140,1108.82375,2362.875,1553.125,37.26,52.16
3.1,887.82,672.485,1741.5,1632.73,2059.395,1928.01,1140,1108.82375,2362.75,1553.125,37.27,52.16
3.2,887.70875,672.485,1741.5,1632.62,2059.395,1928.01,1140,1108.82375,2362.875,1553,37.27,52.15
3.3,887.82,672.485,1741.375,1632.73,2059.3325,1928.01,1140,1108.61375,2362.75,1553,37.27,52.17
3.4,887.70875,672.485,1741.5,1632.62,2059.3325,1927.9425,1140,1108.61375,2362.75,1553,37.29,52.15
3.5,887.82,672.485,1741.5,1632.62,2059.3325,1927.9425,1139.875,1108.61375,2362.75,1553,37.29,52.13
3.6,887.82,672.36,1741.5,1632.62,2059.3325,1927.9425,1140,1108.61375,2362.75,1552.875,37.29,52.19
3.7,887.82,672.36,1741.5,1632.62,2059.26875,1927.9425,1140,1108.61375,2362.625,1552.875,37.27,52.12
3.8,887.70875,672.36,1741.5,1632.62,2059.26875,1927.9425,1139.875,1108.61375,2362.75,1552.875,37.27,52.15
3.9,887.70875,672.36,1741.5,1632.62,2059.26875,1927.875,1140,1108.61375,2362.75,1552.875,37.27,52.15
4.0,887.70875,672.36,1741.375,1632.51125,2059.26875,1927.9425,1140,1108.4025,2362.625,1552.75,37.27,52.12
4.1,887.70875,672.36,1741.375,1632.51125,2059.26875,1927.875,1140,1108.4025,2362.625,1552.75,37.26,52.09
4.2,887.70875,672.36,1741.5,1632.51125,2059.26875,1927.875,1140,1108.4025,2362.75,1552.75,37.29,52.12
4.3,887.70875,672.235,1741.5,1632.51125,2059.20625,1927.875,1140,1108.19125,2362.625,1552.75,37.29,52.13
4.4,887.70875,672.235,1741.5,1632.51125,2059.26875,1927.875,1140,1108.19125,2362.625,1552.75,37.27,52.11
4.5,887.59625,672.235,1741.5,1632.51125,2059.20625,1927.875,1140,1108.19125,2362.625,1552.75,37.27,52.08
4.6,887.59625,672.235,1741.5,1632.40125,2059.20625,1927.875,1140,1108.19125,2362.625,1552.75,37.29,52.1
4.7,887.59625,672.235,1741.375,1632.51125,2059.20625,1927.875,1140,1108.19125,2362.625,1552.75,37.27,52.09
4.8,887.59625,672.235,1741.5,1632.40125,2059.20625,1927.875,1139.875,1107.98,2362.625,1552.625,37.27,52.08
4.9,887.59625,672.11,1741.375,1632.40125,2059.20625,1927.8075,1139.875,1107.98,2362.625,1552.625,37.3,52.11
5.0,887.59625,672.11,1741.375,1632.40125,2059.14375,1927.8075,1140,1107.98,2362.5,1552.625,37.26,52.08
5.1,887.59625,672.11,1741.375,1632.40125,2059.20625,1927.875,1139.875,1107.98,2362.5,1552.5,37.29,52.07
5.2,887.59625,672.11,1741.375,1632.40125,2059.14375,1927.8075,1140,1107.77,2362.5,1552.5,37.3,52.1
5.3,887.59625,672.11,1741.5,1632.40125,2059.14375,1927.8075,1139.875,1107.98,2362.5,1552.5,37.27,52.11
5.4,887.59625,672.11,1741.375,1632.40125,2059.14375,1927.8075,1139.875,1107.77,2362.5,1552.5,37.26,52.08
5.5,887.485,672.11,1741.375,1632.40125,2059.14375,1927.8075,1139.875,1107.77,2362.5,1552.375,37.3,52.08
5.6,887.485,672.11,1741.375,1632.29125,2059.14375,1927.8075,1139.875,1107.77,2362.5,1552.375,37.27,52.08
5.7,887.485,671.985,1741.375,1632.29125,2059.14375,1927.8075,1139.875,1107.77,2362.5,1552.375,37.29,52.08
5.8,887.485,671.985,1741.375,1632.40125,2059.14375,1927.8075,1139.875,1107.55875,2362.5,1552.375,37.27,52.05
5.9,887.485,671.985,1741.5,1632.29125,2059.08,1927.875,1139.875,1107.55875,2362.5,1552.375,37.29,52.04
6.0,887.485,671.985,1741.375,1632.29125,2059.08,1927.875,1140,1107.55875,2362.5,1552.375,37.29,52.07
6.1,887.485,671.985,1741.375,1632.29125,2059.08,1927.8075,1139.875,1107.55875,2362.5,1552.375,37.29,52.1
6.2,887.485,671.985,1741.375,1632.29125,2059.08,1927.875,1139.875,1107.55875,2362.375,1552.375,37.3,52.14
6.3,887.485,671.985,1741.375,1632.29125,2059.08,1927.875,1139.875,1107.55875,2362.5,1552.375,37.27,52.12
6.4,887.485,671.985,1741.375,1632.18125,2059.08,1927.875,1139.875,1107.3475,2362.5,1552.375,37.27,52.07
6.5,887.485,671.985,1741.375,1632.18125,2059.08,1927.875,1139.875,1107.3475,2362.5,1552.25,37.3,52.06
6.6,887.485,671.985,1741.375,1632.18125,2059.08,1927.875,1139.875,1107.3475,2362.375,1552.25,37.27,52.08
6.7,887.485,671.86,1741.375,1632.18125,2059.08,1927.875,1139.875,1107.3475,2362.375,1552.25,37.26,52.08
6.8,887.485,671.86,1741.375,1632.18125,2059.08,1927.875,1139.875,1107.3475,2362.375,1552.25,37.29,52.07
6.9,887.37375,671.86,1741.375,1632.18125,2059.08,1927.875,1139.875,1107.3475,2362.375,1552.375,37.27,52.08
7.0,887.37375,671.86,1741.375,1632.18125,2059.08,1927.875,1139.875,1107.13625,2362.375,1552.25,37.29,52.07
7.1,887.37375,671.86,1741.375,1632.18125,2059.08,1927.875,1139.875,1107.13625,2362.375,1552.25,37.29,52.1
7.2,887.37375,671.735,1741.375,1632.0725,2059.0175,1927.875,1139.875,1107.13625,2362.375,1552.25,37.29,52.06
7.3,887.37375,671.86,1741.375,1632.18125,2059.08,1927.875,1139.875,1107.13625,2362.375,1552.25,37.29,52.08
7.4,887.37375,671.86,1741.375,1632.18125,2059.0175,1927.9425,1139.875,1107.13625,2362.375,1552.25,37.3,52.08
7.5,887.37375,671.86,1741.375,1632.0725,2059.0175,1927.875,1139.875,1106.92625,2362.375,1552.25,37.29,52.08
7.6,887.2625,671.735,1741.375,1632.0725,2059.0175,1927.875,1139.875,1106.92625,2362.375,1552.25,37.27,52.08
7.7,887.37375,671.735,1741.375,1632.0725,2059.0175,1927.875,1139.875,1106.92625,2362.375,1552.25,37.29,52.04
7.8,887.37375,671.735,1741.25,1632.0725,2059.0175,1927.875,1139.875,1106.92625,2362.25,1552.25,37.27,52.08
7.9,887.2625,671.735,1741.25,1632.0725,2059.0175,1927.9425,1139.875,1106.92625,2362.25,1552.25,37.3,52.1
8.0,887.2625,671.735,1741.25,1632.0725,2059.0175,1927.9425,1139.875,1106.92625,2362.25,1552.125,37.27,52.05
8.1,887.2625,671.735,1741.375,1631.9625,2059.0175,1927.875,1139.875,1106.715,2362.25,1552.125,37.29,52.07
8.2,887.2625,671.735,1741.375,1632.0725,2059.0175,1927.875,1139.875,1106.715,2362.25,1552.125,37.3,52.08
8.3,887.2625,671.735,1741.25,1631.9625,2059.0175,1927.875,1139.75,1106.715,2362.125,1552,37.33,52.04
8.4,887.15,671.735,1741.375,1631.9625,2059.0175,1927.875,1139.75,1106.715,2362.125,1552.125,37.29,52
8.5,887.2625,671.61,1741.375,1631.9625,2059.0175,1927.875,1139.75,1106.715,2362.125,1552.125,37.27,52.07
8.6,887.2625,671.61,1741.25,1631.9625,2058.955,1927.875,1139.875,1106.50375,2362.125,1552,37.3,52.03
8.7,887.15,671.61,1741.25,1631.9625,2058.955,1927.875,1139.875,1106.50375,2362,1552,37.29,52.04
8.8,887.15,671.61,1741.25,1631.9625,2058.955,1927.875,1139.875,1106.50375,2362,1552,37.27,52.09
8.9,887.15,671.61,1741.25,1631.9625,2058.955,1927.875,1139.875,1106.50375,2362,1552,37.26,52.04
9.0,887.15,671.61,1741.375,1631.9625,2058.955,1927.875,1139.75,1106.50375,2362,1552,37.29,52.06
9.1,887.15,671.61,1741.25,1631.9625,2058.955,1927.875,1139.875,1106.2925,2361.875,1552,37.3,52.02
9.2,887.15,671.485,1741.375,1631.9625,2058.89125,1927.875,1139.75,1106.50375,2361.875,1552,37.29,52.06
9.3,887.15,671.61,1741.25,1631.8525,2058.955,1927.875,1139.75,1106.2925,2361.875,1552,37.27,52.05
9.4,887.03875,671.61,1741.25,1631.8525,2058.955,1927.8075,1139.75,1106.2925,2361.75,1552,37.29,52.08
9.5,887.03875,671.485,1741.25,1631.8525,2058.89125,1927.8075,1139.75,1106.2925,2361.75,1551.875,37.3,52.06
9.6,887.15,671.485,1741.25,1631.8525,2058.89125,1927.8075,1139.75,1106.2925,2361.75,1551.875,37.3,52.03
9.7,887.03875,671.485,1741.25,1631.8525,2058.955,1927.8075,1139.75,1106.08125,2361.625,1551.875,37.27,52.07
9.8,887.03875,671.485,1741.25,1631.8525,2058.89125,1927.74,1139.75,1106.08125,2361.625,1551.875,37.29,52.04
9.9,887.03875,671.485,1741.25,1631.8525,2058.89125,1927.74,1139.75,1106.08125,2361.625,1551.875,37.3,52.05
10.0,887.03875,671.485,1741.125,1631.74375,2058.89125,1927.74,1139.75,1105.87125,2361.625,1551.75,37.32,52.05
10.1,887.03875,671.485,1741.125,1631.74375,2058.89125,1927.6725,1139.75,1105.87125,2361.5,1551.75,37.29,52.08
10.2,887.03875,671.485,1741.125,1631.63375,2058.89125,1927.6725,1139.75,1105.87125,2361.5,1551.75,37.27,52.04
10.3,887.03875,671.36,1741.125,1631.63375,2058.82875,1927.605,1139.625,1105.66,2361.5,1551.75,37.29,52.04
10.4,887.03875,671.36,1741,1631.52375,2058.82875,1927.5375,1139.625,1105.66,2361.625,1551.75,37.29,52.08
10.5,886.9275,671.36,1741,1631.63375,2058.82875,1927.5375,1139.5,1105.66,2361.625,1551.625,37.29,52.01
10.6,886.9275,671.485,1741,1631.52375,2058.82875,1927.5375,1139.625,1105.44875,2361.75,1551.75,37.3,52.05
10.7,886.9275,671.485,1741,1631.52375,2058.82875,1927.5375,1139.625,1105.44875,2361.875,1551.75,37.3,52
10.8,886.9275,671.61,1740.875,1631.52375,2058.82875,1927.5375,1139.625,1105.44875,2361.875,1551.75,37.27,52.07
10.9,886.9275,671.735,1740.875,1631.52375,2058.82875,1927.5375,1139.625,1105.2375,2362,1551.75,37.3,52.03
11.0,886.9275,672.11,1740.875,1631.41375,2058.82875,1927.605,1139.625,1105.2375,2362,1551.625,37.3,52.02
11.1,886.81625,672.86,1740.875,1631.52375,2058.89125,1927.605,1139.625,1105.2375,2362.125,1551.625,37.3,52.03
11.2,886.81625,673.86,1740.75,1631.52375,2058.955,1927.6725,1139.625,1105.2375,2362.25,1551.625,37.29,52.03
11.3,886.81625,675.11,1740.75,1631.52375,2059.08,1927.6725,1139.625,1105.2375,2362.375,1551.75,37.27,52.04
11.4,886.9275,676.60875,1740.875,1631.63375,2059.14375,1927.8075,1139.5,1105.44875,2362.5,1551.625,37.27,52.01
11.5,886.81625,678.60875,1740.75,1631.63375,2059.3325,1927.875,1139.625,1105.44875,2362.625,1551.75,37.29,51.98
11.6,886.81625,680.98375,1740.75,1631.74375,2059.4575,1927.9425,1139.625,1105.66,2362.875,1551.75,37.27,52.04
11.7,886.81625,683.7325,1740.75,1631.8525,2059.71,1928.14375,1139.625,1105.87125,2363.125,1551.875,37.3,52.05
11.8,886.81625,686.8575,1740.75,1631.9625,2059.96125,1928.27875,1139.625,1106.08125,2363.375,1551.875,37.29,52.03
11.9,886.81625,690.4825,1740.75,1632.18125,2060.2125,1928.48125,1139.75,1106.2925,2363.75,1551.875,37.27,52
12.0,886.9275,694.35625,1740.625,1632.29125,2060.5275,1928.61625,1139.625,1106.715,2364.125,1552,37.27,52.01
12.1,886.9275,698.60625,1740.75,1632.51125,2060.905,1928.885,1139.75,1107.13625,2364.5,1552,37.29,52.01
12.2,887.03875,703.23,1740.625,1632.62,2061.22,1929.0875,1139.75,1107.3475,2364.875,1552.25,37.29,52.04
12.3,887.03875,708.10375,1740.625,1632.95,2061.5975,1929.35625,1139.875,1107.98,2365.375,1552.375,37.3,52
12.4,887.15,713.3525,1740.75,1633.16875,2062.0375,1929.69375,1140,1108.61375,2365.75,1552.5,37.3,52
12.5,887.2625,718.8525,1740.75,1633.38875,2062.54125,1929.9625,1140,1109.24625,2366.25,1552.75,37.29,51.99
12.6,887.37375,724.47625,1740.75,1633.7175,2062.98125,1930.2325,1140,1110.09,2366.875,1553,37.27,52
12.7,887.485,730.6,1740.75,1634.04625,2063.485,1930.56875,1140.125,1110.7225,2367.375,1553.25,37.3,52
