iter	Passed	Remaining
0	129	129016
1	142	71185
2	152	50785
3	164	41038
4	177	35301
5	189	31372
6	198	28157
7	209	25999
8	217	23987
9	225	22326
10	234	21039
11	240	19826
12	247	18778
13	254	17891
14	262	17206
15	268	16540
16	275	15951
17	281	15383
18	288	14909
19	295	14489
20	301	14039
21	306	13613
22	312	13265
23	316	12855
24	321	12536
25	327	12281
26	334	12071
27	340	11827
28	346	11588
29	352	11412
30	366	11445
31	373	11291
32	382	11194
33	389	11068
34	397	10948
35	403	10817
36	411	10711
37	418	10603
38	425	10479
39	432	10389
40	440	10299
41	446	10181
42	452	10073
43	459	9980
44	465	9877
45	473	9815
46	479	9732
47	488	9683
48	495	9610
49	500	9501
50	507	9446
51	514	9379
52	521	9309
53	527	9239
54	534	9176
55	540	9118
56	548	9067
57	553	8981
58	559	8919
59	565	8862
60	571	8802
61	578	8747
62	583	8679
63	592	8667
64	597	8599
65	611	8655
66	619	8622
67	625	8578
68	631	8514
69	636	8461
70	642	8411
71	644	8311
72	651	8271
73	658	8236
74	666	8223
75	674	8199
76	681	8170
77	688	8143
78	695	8112
79	703	8086
80	710	8066
81	717	8036
82	725	8011
83	731	7972
84	736	7932
85	743	7905
86	751	7885
87	759	7874
88	766	7841
89	773	7821
90	779	7790
91	786	7759
92	793	7740
93	797	7688
94	802	7642
95	808	7615
96	814	7584
97	821	7564
98	826	7521
99	830	7471
100	833	7422
101	838	7379
102	842	7336
103	846	7292
104	850	7247
105	857	7234
106	861	7191
107	866	7156
108	874	7145
109	882	7136
110	889	7126
111	896	7110
112	903	7092
113	909	7065
114	915	7042
115	921	7024
116	929	7011
117	935	6994
118	942	6978
119	948	6954
120	954	6932
121	959	6908
122	967	6895
123	973	6880
124	981	6870
125	987	6847
126	993	6831
127	1001	6821
128	1008	6810
129	1016	6800
130	1021	6779
131	1028	6764
132	1036	6758
133	1043	6743
134	1051	6736
135	1058	6721
136	1065	6712
137	1072	6699
138	1080	6693
139	1087	6683
140	1096	6677
141	1102	6661
142	1108	6645
143	1115	6629
144	1122	6621
145	1129	6605
146	1136	6594
147	1143	6585
148	1151	6574
149	1157	6560
150	1163	6542
151	1169	6525
152	1176	6513
153	1183	6499
154	1190	6487
155	1196	6471
156	1204	6464
157	1209	6447
158	1215	6429
159	1221	6412
160	1228	6403
161	1235	6390
162	1243	6383
163	1249	6369
164	1256	6360
165	1263	6346
166	1268	6329
167	1276	6321
168	1283	6310
169	1290	6301
170	1296	6284
171	1301	6266
172	1308	6254
173	1315	6247
174	1322	6235
175	1330	6229
176	1336	6216
177	1346	6216
178	1352	6203
179	1359	6191
180	1364	6173
181	1370	6160
182	1377	6151
183	1382	6132
184	1388	6118
185	1396	6112
186	1403	6100
187	1408	6082
188	1415	6071
189	1421	6060
190	1427	6047
191	1435	6041
192	1441	6026
193	1448	6017
194	1455	6007
195	1462	6001
196	1467	5980
197	1474	5973
198	1481	5964
199	1487	5950
200	1495	5943
201	1501	5930
202	1509	5926
203	1516	5918
204	1525	5914
205	1531	5903
206	1537	5891
207	1545	5884
208	1552	5875
209	1558	5863
210	1563	5847
211	1571	5839
212	1577	5827
213	1581	5808
214	1587	5795
215	1594	5787
216	1600	5773
217	1605	5760
218	1612	5750
219	1619	5740
220	1627	5735
221	1632	5720
222	1639	5712
223	1646	5703
224	1653	5694
225	1661	5690
226	1668	5683
227	1676	5675
228	1681	5662
229	1688	5653
230	1693	5637
231	1701	5631
232	1708	5624
233	1715	5614
234	1720	5601
235	1725	5587
236	1732	5576
237	1738	5567
238	1745	5558
239	1752	5550
240	1758	5537
241	1766	5534
242	1774	5526
243	1781	5519
244	1787	5508
245	1793	5496
246	1801	5492
247	1808	5484
248	1815	5475
249	1822	5466
250	1830	5462
251	1836	5451
252	1844	5445
253	1849	5430
254	1855	5420
255	1862	5411
256	1868	5403
257	1875	5393
258	1881	5381
259	1886	5368
260	1889	5349
261	1896	5342
262	1903	5333
263	1909	5323
264	1915	5312
265	1921	5302
266	1929	5296
267	1935	5286
268	1939	5271
269	1945	5261
270	1954	5256
271	1960	5247
272	1969	5243
273	1977	5239
274	1983	5230
275	1990	5222
